symbol,effective_from,effective_to,weight,source
ADP,2020-03-31,2099-12-31,1.081821865651,SEC-NPORT-2020q2
ADP,2020-06-30,2099-12-31,.907417869685,SEC-NPORT-2020q3
ADP,2020-09-30,2099-12-31,.763361407607,SEC-NPORT-2020q4
ADP,2020-12-31,2099-12-31,.863161966203,SEC-NPORT-2021q1
ADP,2021-03-31,2099-12-31,.898960135333,SEC-NPORT-2021q2
ADP,2021-06-30,2099-12-31,.846069673245,SEC-NPORT-2021q3
ADP,2021-09-30,2099-12-31,.836135899193,SEC-NPORT-2021q4
ADP,2021-12-31,2099-12-31,.915313259402,SEC-NPORT-2022q1
ADP,2022-03-31,2099-12-31,.936738669137,SEC-NPORT-2022q2
ADP,2022-06-30,2099-12-31,1.029396227616,SEC-NPORT-2022q3
ADP,2022-09-30,2099-12-31,1.227006888095,SEC-NPORT-2022q4
ADP,2022-12-31,2099-12-31,1.218483073034,SEC-NPORT-2023q1
ADSK,2019-09-30,2099-12-31,.597226659615,SEC-NPORT-2019q4
ADSK,2019-12-31,2099-12-31,.648833761988,SEC-NPORT-2020q1
ADSK,2020-03-31,2099-12-31,.628254916007,SEC-NPORT-2020q2
ADSK,2020-06-30,2099-12-31,.743547965032,SEC-NPORT-2020q3
ADSK,2020-09-30,2099-12-31,.644747095798,SEC-NPORT-2020q4
ADSK,2020-12-31,2099-12-31,.767082826862,SEC-NPORT-2021q1
ADSK,2021-03-31,2099-12-31,.679259501305,SEC-NPORT-2021q2
ADSK,2021-06-30,2099-12-31,.642223843612,SEC-NPORT-2021q3
ADSK,2021-09-30,2099-12-31,.620198421107,SEC-NPORT-2021q4
ADSK,2021-12-31,2099-12-31,.544587846534,SEC-NPORT-2022q1
ADSK,2022-03-31,2099-12-31,.462105240248,SEC-NPORT-2022q2
ADSK,2022-06-30,2099-12-31,.438838592519,SEC-NPORT-2022q3
ADSK,2022-09-30,2099-12-31,.529852523955,SEC-NPORT-2022q4
ADSK,2022-12-31,2099-12-31,.496051670582,SEC-NPORT-2023q1
ADSK,2023-03-31,2099-12-31,.591347174873,SEC-NPORT-2023q2
ADSK,2023-06-30,2099-12-31,.528521098631,SEC-NPORT-2023q3
ADSK,2023-09-30,2099-12-31,.554420991394,SEC-NPORT-2023q4
AKAM,2019-09-30,2099-12-31,.276929966583,SEC-NPORT-2019q4
AKAM,2019-12-31,2099-12-31,.224379347115,SEC-NPORT-2020q1
AKAM,2020-03-31,2099-12-31,.270446366124,SEC-NPORT-2020q2
AKAM,2020-06-30,2099-12-31,.246442040824,SEC-NPORT-2020q3
AKAM,2020-09-30,2099-12-31,.228906250587,SEC-NPORT-2020q4
AKAM,2020-12-31,2099-12-31,.195256531024,SEC-NPORT-2021q1
AKAM,2021-03-31,2099-12-31,.18538816679,SEC-NPORT-2021q2
AKAM,2021-06-30,2099-12-31,.190629468076,SEC-NPORT-2021q3
AKAM,2021-09-30,2099-12-31,.168352797778,SEC-NPORT-2021q4
AKAM,2021-12-31,2099-12-31,.167515407023,SEC-NPORT-2022q1
AKAM,2022-03-31,2099-12-31,.190131890149,SEC-NPORT-2022q2
AKAM,2022-06-30,2099-12-31,.171754037013,SEC-NPORT-2022q3
AKAM,2022-09-30,2099-12-31,.166689200545,SEC-NPORT-2022q4
AKAM,2022-12-31,2099-12-31,.162994450532,SEC-NPORT-2023q1
AKAM,2023-03-31,2099-12-31,.16210145196,SEC-NPORT-2023q2
AKAM,2023-06-30,2099-12-31,.164987126425,SEC-NPORT-2023q3
AKAM,2023-09-30,2099-12-31,.203028164266,SEC-NPORT-2023q4
AMD,2019-09-30,2099-12-31,.579472903351,SEC-NPORT-2019q4
AMD,2019-12-31,2099-12-31,.820869745072,SEC-NPORT-2020q1
AMD,2020-03-31,2099-12-31,.973078789385,SEC-NPORT-2020q2
AMD,2020-06-30,2099-12-31,.873775406781,SEC-NPORT-2020q3
AMD,2020-09-30,2099-12-31,1.225213384943,SEC-NPORT-2020q4
AMD,2020-12-31,2099-12-31,1.260110144775,SEC-NPORT-2021q1
AMD,2021-03-31,2099-12-31,1.060233590161,SEC-NPORT-2021q2
AMD,2021-06-30,2099-12-31,1.142505890562,SEC-NPORT-2021q3
AMD,2021-09-30,2099-12-31,1.233806677201,SEC-NPORT-2021q4
AMD,2021-12-31,2099-12-31,1.530779413464,SEC-NPORT-2022q1
AMD,2022-03-31,2099-12-31,1.751922909424,SEC-NPORT-2022q2
AMD,2022-06-30,2099-12-31,1.453780860977,SEC-NPORT-2022q3
AMD,2022-09-30,2099-12-31,1.33534408603,SEC-NPORT-2022q4
AMD,2022-12-31,2099-12-31,1.284230793833,SEC-NPORT-2023q1
AMD,2023-03-31,2099-12-31,2.080623251629,SEC-NPORT-2023q2
AMD,2023-06-30,2099-12-31,2.21260956859,SEC-NPORT-2023q3
AMD,2023-09-30,2099-12-31,2.082812275055,SEC-NPORT-2023q4
ANET,2019-09-30,2099-12-31,.239467259512,SEC-NPORT-2019q4
