sector,quarter,report_date,available_from,accession,issuer_rows,unresolved_rows
XLF,2021q3,2021-06-30,2021-08-27,0001752724-21-189783,67,27
XLRE,2021q3,2021-06-30,2021-08-27,0001752724-21-189820,31,6
XLI,2021q3,2021-06-30,2021-08-27,0001752724-21-189816,77,18
XLF,2021q4,2021-09-30,2021-11-26,0001752724-21-258719,67,27
XLRE,2021q4,2021-09-30,2021-11-26,0001752724-21-258715,32,7
XLC,2021q4,2021-09-30,2021-11-26,0001752724-21-258726,29,12
XLP,2021q4,2021-09-30,2021-11-26,0001752724-21-258694,34,17
XLV,2021q4,2021-09-30,2021-11-26,0001752724-21-258720,66,17
XLU,2021q4,2021-09-30,2021-11-26,0001752724-21-258704,30,8
XLE,2021q4,2021-09-30,2021-11-26,0001752724-21-258730,24,14
XLY,2021q4,2021-09-30,2021-11-26,0001752724-21-258703,65,15
XLB,2021q4,2021-09-30,2021-11-26,0001752724-21-258712,29,8
XLI,2021q4,2021-09-30,2021-11-26,0001752724-21-258721,76,18
XLK,2021q4,2021-09-30,2021-11-26,0001752724-21-258701,78,21
XLC,2022q1,2021-12-31,2022-02-25,0001752724-22-048728,29,11
XLE,2022q1,2021-12-31,2022-02-25,0001752724-22-048811,24,14
XLK,2022q1,2021-12-31,2022-02-25,0001752724-22-048813,79,19
XLI,2022q1,2021-12-31,2022-02-25,0001752724-22-048852,75,17
XLRE,2022q1,2021-12-31,2022-02-25,0001752724-22-048721,32,7
XLV,2022q1,2021-12-31,2022-02-25,0001752724-22-048831,66,17
XLF,2022q1,2021-12-31,2022-02-25,0001752724-22-048851,69,28
XLU,2022q1,2021-12-31,2022-02-25,0001752724-22-048835,30,8
XLP,2022q1,2021-12-31,2022-02-25,0001752724-22-048758,34,17
XLB,2022q1,2021-12-31,2022-02-25,0001752724-22-048856,29,8
XLY,2022q1,2021-12-31,2022-02-25,0001752724-22-048714,63,14
XLI,2022q2,2022-03-31,2022-05-27,0001752724-22-127630,76,16
XLE,2022q2,2022-03-31,2022-05-27,0001752724-22-127613,23,13
XLF,2022q2,2022-03-31,2022-05-27,0001752724-22-127644,69,28
XLY,2022q2,2022-03-31,2022-05-27,0001752724-22-127627,62,13
XLC,2022q2,2022-03-31,2022-05-27,0001752724-22-127640,29,10
XLV,2022q2,2022-03-31,2022-05-27,0001752724-22-127609,67,17
XLRE,2022q2,2022-03-31,2022-05-27,0001752724-22-127620,31,6
XLK,2022q2,2022-03-31,2022-05-27,0001752724-22-127619,78,17
XLB,2022q2,2022-03-31,2022-05-27,0001752724-22-127612,30,9
XLU,2022q2,2022-03-31,2022-05-27,0001752724-22-127617,31,8
XLP,2022q2,2022-03-31,2022-05-27,0001752724-22-127598,34,17
XLK,2022q3,2022-06-30,2022-08-26,0001752724-22-197027,79,16
XLI,2022q3,2022-06-30,2022-08-26,0001752724-22-197023,75,16
XLV,2022q3,2022-06-30,2022-08-26,0001752724-22-197120,66,15
XLP,2022q3,2022-06-30,2022-08-26,0001752724-22-196983,35,17
XLY,2022q3,2022-06-30,2022-08-26,0001752724-22-197082,60,13
XLE,2022q3,2022-06-30,2022-08-26,0001752724-22-197089,23,13
XLB,2022q3,2022-06-30,2022-08-26,0001752724-22-196997,29,8
XLC,2022q3,2022-06-30,2022-08-26,0001752724-22-196991,28,8
XLRE,2022q3,2022-06-30,2022-08-26,0001752724-22-197030,33,7
XLU,2022q3,2022-06-30,2022-08-26,0001752724-22-196975,31,8
XLF,2022q3,2022-06-30,2022-08-26,0001752724-22-197051,68,27
XLY,2022q4,2022-09-30,2022-11-28,0001752724-22-271195,58,11
XLK,2022q4,2022-09-30,2022-11-28,0001752724-22-271215,79,16
XLB,2022q4,2022-09-30,2022-11-28,0001752724-22-271219,30,9
XLV,2022q4,2022-09-30,2022-11-28,0001752724-22-271213,66,15
XLC,2022q4,2022-09-30,2022-11-28,0001752724-22-271217,28,8
XLF,2022q4,2022-09-30,2022-11-28,0001752724-22-271181,68,27
XLP,2022q4,2022-09-30,2022-11-28,0001752724-22-271220,35,17
XLU,2022q4,2022-09-30,2022-11-28,0001752724-22-271189,31,8
XLI,2022q4,2022-09-30,2022-11-28,0001752724-22-271196,76,15
XLE,2022q4,2022-09-30,2022-11-28,0001752724-22-271202,24,14
XLRE,2022q4,2022-09-30,2022-11-28,0001752724-22-271223,34,5
XLRE,2023q1,2022-12-31,2023-02-28,0001752724-23-046870,33,4
XLY,2023q1,2022-12-31,2023-02-28,0001752724-23-046890,58,11
XLB,2023q1,2022-12-31,2023-02-28,0001752724-23-046866,32,10
XLE,2023q1,2022-12-31,2023-02-28,0001752724-23-046846,26,14
XLF,2023q1,2022-12-31,2023-02-28,0001752724-23-046946,69,27
XLI,2023q1,2022-12-31,2023-02-28,0001752724-23-046851,73,13
XLC,2023q1,2022-12-31,2023-02-28,0001752724-23-046909,27,7
XLU,2023q1,2022-12-31,2023-02-28,0001752724-23-046903,32,8
XLP,2023q1,2022-12-31,2023-02-28,0001752724-23-046826,35,17
XLK,2023q1,2022-12-31,2023-02-28,0001752724-23-046947,79,14
XLV,2023q1,2022-12-31,2023-02-28,0001752724-23-046898,65,14
XLC,2023q2,2023-03-31,2023-05-30,0001752724-23-123980,26,7
XLV,2023q2,2023-03-31,2023-05-30,0001752724-23-124012,67,13
XLU,2023q2,2023-03-31,2023-05-30,0001752724-23-123996,32,8
XLP,2023q2,2023-03-31,2023-05-30,0001752724-23-123969,39,18
XLY,2023q2,2023-03-31,2023-05-30,0001752724-23-123976,55,11
XLB,2023q2,2023-03-31,2023-05-30,0001752724-23-123986,32,10
