symbol,timestamp_utc,open,high,low,close,volume
QQQ,1577975400,214.399994,216.160004,213.979996,216.160004,30969400
QQQ,1578061800,213.300003,215.470001,213.279999,214.179993,27518900
QQQ,1578321000,212.500000,215.589996,212.240005,215.559998,21655300
QQQ,1578407400,215.639999,216.139999,214.850006,215.529999,22139300
QQQ,1578493800,215.500000,218.139999,215.160004,217.149994,26397300
QQQ,1578580200,218.940002,219.410004,217.710007,218.990005,23547000
QQQ,1578666600,219.850006,219.869995,218.039993,218.429993,21898500
QQQ,1578925800,219.330002,220.979996,218.979996,220.949997,22756900
QQQ,1579012200,220.839996,221.210007,219.740005,220.080002,24418100
QQQ,1579098600,220.199997,221.199997,219.449997,220.169998,25742100
QQQ,1579185000,221.270004,222.320007,220.800003,222.279999,18805000
QQQ,1579271400,223.279999,223.559998,222.119995,223.380005,24325200
QQQ,1579617000,222.759995,223.839996,222.660004,223.279999,21146300
QQQ,1579703400,224.410004,225.149994,223.589996,223.869995,20736400
QQQ,1579789800,223.740005,224.690002,222.699997,224.589996,26496100
QQQ,1579876200,225.639999,225.880005,221.669998,222.699997,37436500
QQQ,1580135400,217.669998,219.279999,217.179993,218.100006,42264400
QQQ,1580221800,219.639999,221.960007,219.059998,221.449997,26731900
QQQ,1580308200,222.679993,222.929993,220.830002,221.809998,28924500
QQQ,1580394600,220.380005,222.699997,219.690002,222.600006,39568100
QQQ,1580481000,223.529999,223.559998,218.289993,219.070007,52015800
QQQ,1580740200,220.139999,222.889999,219.990005,222.380005,25408600
QQQ,1580826600,225.419998,227.860001,224.649994,227.470001,30691200
QQQ,1580913000,230.210007,230.250000,226.850006,228.220001,38534800
QQQ,1580999400,228.789993,230.250000,227.979996,230.190002,22467100
QQQ,1581085800,229.160004,230.440002,228.539993,229.199997,25884900
QQQ,1581345000,228.440002,231.979996,228.380005,231.970001,21478900
QQQ,1581431400,233.250000,234.020004,231.399994,232.009995,30198000
QQQ,1581517800,233.380005,234.380005,232.800003,234.270004,24471300
QQQ,1581604200,232.639999,234.929993,232.360001,233.970001,22773200
QQQ,1581690600,234.339996,234.860001,233.550003,234.639999,23438500
QQQ,1582036200,233.500000,235.169998,233.250000,234.729996,24394500
QQQ,1582122600,236.130005,237.470001,235.850006,236.979996,22230500
QQQ,1582209000,236.460007,236.949997,231.880005,234.779999,42604000
QQQ,1582295400,233.610001,234.009995,229.320007,230.270004,66017200
QQQ,1582554600,221.679993,224.250000,220.259995,221.389999,84522600
QQQ,1582641000,223.250000,223.990005,214.740005,215.369995,97743000
QQQ,1582727400,216.710007,220.279999,214.899994,216.479996,79537700
QQQ,1582813800,210.899994,216.419998,205.500000,205.639999,121822600
QQQ,1582900200,198.639999,207.169998,198.169998,205.800003,148173700
QQQ,1583159400,208.880005,216.570007,205.940002,216.419998,112933900
